#Data from 2015-10-22 at 11:12:9,,
Timestamp,PMT,
1928376997,0.006,100
1928377097,0.003,100
1928377197,0.003,100
1928377297,0.003,100
1928377397,0.003,100
1928377497,0.003,100
1928377597,0.003,100
1928377698,0.003,101
1928377797,0.003,99
1928377897,0.003,100
1928377997,0.006,100
1928378097,0.006,100
1928378197,0.003,100
1928378297,0.003,100
1928378397,0.003,100
1928378497,0.003,100
1928378597,0.003,100
1928378697,0.003,100
1928378797,0.003,100
1928378897,0.006,100
1928378997,0.003,100
1928379097,0.003,100
1928379197,0.006,100
1928379297,0.003,100
1928379397,0.003,100
1928379497,0.012,100
1928379597,0.003,100
1928379697,0.003,100
1928379797,0.003,100
1928379897,0.003,100
1928379997,0.003,100
1928380097,0.003,100
1928380197,0.003,100
1928380297,0.003,100
1928380397,0.003,100
1928380497,0.029,100
1928380597,0.003,100
1928380697,0.003,100
1928380797,0.003,100
1928380897,0.003,100
1928380997,0.003,100
1928381097,0.003,100
1928381197,0.003,100
1928381297,0.003,100
1928381397,0.003,100
1928381497,0.003,100
1928381597,0.003,100
1928381697,0.006,100
1928381797,0.006,100
1928381897,0.003,100
1928381997,0.003,100
1928382097,0.009,100
1928382197,0.016,100
1928382297,0.003,100
1928382397,0.022,100
1928382497,0.003,100
1928382597,0.003,100
1928382697,0.003,100
1928382797,0.006,100
1928382897,0.003,100
1928382997,0.003,100
1928383097,0.006,100
1928383197,0.003,100
1928383297,0.003,100
1928383397,0.006,100
1928383497,0.003,100
1928383597,0.003,100
1928383697,0.012,100
1928383797,0.003,100
1928383897,0.003,100
1928383997,0.003,100
1928384097,0.006,100
1928384197,0.003,100
1928384297,0.006,100
1928384397,0.003,100
1928384497,0.016,100
1928384597,0.003,100
1928384697,0.029,100
1928384797,0.003,100
1928384897,0.003,100
1928384997,0.003,100
1928385097,0.003,100
1928385197,0.003,100
1928385297,0.003,100
1928385397,0.003,100
1928385497,0.003,100
1928385597,0.003,100
1928385697,0.006,100
1928385797,0.003,100
1928385897,0.006,100
1928385997,0.003,100
1928386097,0.003,100
1928386197,0.003,100
1928386297,0.003,100
1928386397,0.006,100
1928386497,0.003,100
1928386597,0.003,100
1928386697,0.003,100
1928386797,0.003,100
1928386897,0.003,100
1928386997,0.006,100
1928387097,0.003,100
1928387197,0.009,100
1928387297,0.003,100
1928387397,0.003,100
1928387497,0.006,100
1928387597,0.003,100
1928387697,0.003,100
1928387797,0.003,100
1928387897,0.003,100
1928387997,0.003,100
1928388097,0.006,100
1928388197,0.003,100
1928388297,0.003,100
1928388397,0.003,100
1928388497,0.003,100
1928388597,0.003,100
1928388697,0.003,100
1928388797,0.003,100
1928388897,0.003,100
1928388997,0.003,100
1928389097,0.003,100
1928389197,0.006,100
1928389297,0.006,100
1928389397,0.006,100
1928389497,0.003,100
1928389597,0.003,100
1928389697,0.003,100
1928389797,0.003,100
1928389897,0.006,100
1928389997,0.003,100
1928390097,0.003,100
1928390197,0.003,100
1928390297,0.003,100
1928390397,0.003,100
1928390497,0.003,100
1928390597,0.003,100
1928390697,0.003,100
1928390797,0.003,100
1928390897,0.006,100
1928390997,0.003,100
1928391097,0.003,100
1928391197,0.006,100
1928391297,0.003,100
1928391397,0.003,100
1928391497,0.006,100
1928391597,0.003,100
1928391697,0.006,100
1928391797,0.003,100
1928391897,0.003,100
1928391997,0.003,100
1928392097,0.003,100
1928392197,0.003,100
1928392297,0.003,100
1928392397,0.003,100
1928392497,0.003,100
1928392597,0.003,100
1928392697,0.003,100
1928392797,0.003,100
1928392897,0.003,100
1928392997,0.003,100
1928393097,0.003,100
1928393197,0.003,100
1928393297,0.003,100
1928393397,0.003,100
1928393497,0.003,100
1928393597,0.003,100
1928393697,0.003,100
1928393797,0.003,100
1928393897,0.003,100
1928393997,0.003,100
1928394097,0.003,100
1928394197,0.003,100
1928394297,0.003,100
1928394397,0.003,100
1928394497,0.003,100
1928394597,0.003,100
1928394697,0.006,100
1928394797,0.006,100
1928394897,0.003,100
1928394997,0.003,100
1928395097,0.003,100
1928395197,0.003,100
1928395297,0.003,100
1928395397,0.003,100
1928395497,0.003,100
1928395597,0.003,100
1928395697,0.003,100
1928395797,0.003,100
1928395897,0.003,100
1928395997,0.003,100
1928396097,0.003,100
1928396197,0.003,100
1928396297,0.003,100
1928396397,0.003,100
1928396497,0.003,100
1928396597,0.003,100
1928396697,0.003,100
1928396797,0.003,100
1928396897,0.003,100
1928396997,0.003,100
1928397097,0.003,100
1928397197,0.003,100
1928397297,0.003,100
1928397397,0.003,100
1928397497,0.003,100
1928397597,0.003,100
1928397697,0.003,100
1928397797,0.003,100
1928397897,0.003,100
1928404366,0.003,6469
1928404397,0.003,31
1928404497,0.003,100
